4,smlp_toy_num_resp_mult,smlp_toy_num_resp_mult_pred_labeled,"-mode predict -resp y2 -feat x,p1,p2 -model nn_keras -nn_keras_weights_precision 2 -save_model_config f -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_epochs 20 -nn_keras_seq_api f",basic nn_keras prediction test on labeled and new data with numeric labels and one response
8,smlp_toy_num_resp_mult,smlp_toy_num_resp_mult_pred_labeled,"-mode predict -resp y1,y2 -feat x,p1,p2 -model nn_keras -save_model_config f -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -nn_keras_epochs 20 -nn_keras_seq_api f -log_time f",basic nn_keras prediction test on labeled and new data with numeric labels and two responses
13,smlp_toy_basic,,"-mode train -resp y1,y2 -feat x1,x2,p1,p2 -model nn_keras -nn_keras_epochs 20 -nn_keras_seq_api f -save_model_config f -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",EV-SI real life nn_keras prediction test on labeled and new data with numeric labels
16,Test8_smlp_toy_num_resp_mult,smlp_toy_num_resp_mult_pred_labeled,"-mode predict -resp y1,y2 -feat x,p1,p2 -model nn_keras -save_model f -use_model t -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10  -log_time f",basic nn_keras prediction test from saved model on new data with numeric labels and two responses
27,smlp_toy_num_resp_mult,smlp_toy_num_resp_mult_pred_labeled,"-mode predict -resp y2 -feat x,p1,p2 -model nn_keras -save_model_config f -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_epochs 20 -nn_keras_seq_api t",checks nn_keras prediction with nn_keras_seq_api t, adapts test 4 which uses nn_keras_seq_api f
28,smlp_toy_num_resp_mult,smlp_toy_num_resp_mult_pred_labeled,"-mode predict -resp y2 -feat x,p1,p2 -model nn_keras -save_model_config f -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_epochs 20 -nn_keras_seq_api f -sw_coef 0.8",checks nn_keras prediction with sw_coef 0.8 and functional API, adapts test 4
135,smlp_toy_const_input,,"-mode optimize -opt_strategy lazy -feat x2,p1,p2 -resp y1,y2 -model nn_keras -nnet_encoding nested -nn_keras_epochs 20 -spec smlp_toy_const_input_dropped.spec -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",captures scenario where interface constraints are consistent but model constraints are not (because y2 is declared as int and not as real) -- constant inut x1 is dropped explicitly using -feat option ; uses nn_keras model which is the only difference with test 133 but which model is used does not matter as the problem is in declaration of y2 as int
147,smlp_toy_num_resp_mult,smlp_toy_num_resp_mult_pred_labeled,"-mode predict -resp y2 -feat x,p1,p2 -model nn_keras -nnet_encoding nested -save_model_config f -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_epochs 20 -nn_keras_seq_api t -sw_coef 0.8",checks nn_keras prediction with sw_coef 0.8 and sequential API, adapts test 28
148,smlp_toy_num_resp_mult,smlp_toy_num_resp_mult_pred_labeled,"-mode predict -resp y1,y2 -feat x,p1,p2 -model nn_keras -nnet_encoding nested -save_model_config f -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_epochs 20 -nn_keras_seq_api t -sw_coef 0.8",checks nn_keras prediction with sw_coef 0.8 and sequential API, adapts test 28 to have two responses
149,smlp_toy_num_resp_mult,smlp_toy_num_resp_mult_pred_labeled,"-mode predict -resp y2 -feat x,p1,p2 -model nn_keras -nnet_encoding nested -save_model_config f -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_epochs 20 -nn_keras_seq_api f -nn_keras_loss mae -sw_coef 0.8",tests the mae loss function MeanAbsoluteError and sample weoghts
150,smlp_toy_num_resp_mult,smlp_toy_num_resp_mult_pred_labeled,"-mode predict -resp y1,y2 -feat x,p1,p2 -model nn_keras -nnet_encoding nested -save_model_config f -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_epochs 20 -nn_keras_seq_api f -nn_keras_loss mape -sw_coef 0.8",tests the mape loss function MeanAbsolutePercentageError and sample weights
151,smlp_toy_num_resp_mult,smlp_toy_num_resp_mult_pred_labeled,"-mode predict -resp y2 -feat x,p1,p2 -model nn_keras -nnet_encoding nested -save_model_config f -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_epochs 20 -nn_keras_seq_api f -nn_keras_loss msle -sw_coef 3 -sw_exp 10 -sw_int 0",tests msle loss function MeanSquaredLogarithmicError and and sample weoghts
152,smlp_toy_num_resp_mult,smlp_toy_num_resp_mult_pred_labeled,"-mode predict -resp y1,y2 -feat x,p1,p2 -model nn_keras -nnet_encoding nested -save_model_config f -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_epochs 20 -nn_keras_seq_api f -nn_keras_loss huber -sw_coef 8 -sw_exp 5 -sw_int 0.5",tests the huber loss function Huber and sample weights
153,smlp_toy_num_resp_mult,smlp_toy_num_resp_mult_pred_labeled,"-mode predict -resp y1,y2 -feat x,p1,p2 -model nn_keras -nnet_encoding nested -save_model_config f -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_epochs 20 -nn_keras_seq_api t -nn_keras_loss logcosh -sw_coef 4 -sw_exp 5 -sw_int 0.5 -nn_keras_metrics mse",tests the logcosh loss function LogCosh and sample weights
154,smlp_toy_num_resp_mult,,"-mode verify -resp y2 -feat x,p1,p2 -model nn_keras -nnet_encoding nested -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_epochs 20 -nn_keras_seq_api f -nn_keras_tuner hyperband -nn_keras_layers_grid ""2,2;3,3,3"" -save_model_config f -spec smlp_toy_num_resp_mult_y2_verify.spec -asrt_names asrt1 -asrt_exprs ""2*y2>1"" -sw_coef 4 -sw_exp 5 -sw_int 0.5",basic nn_keras assertion verification test that uses keras tuner for functional model training
155,smlp_toy_num_resp_mult,,"-mode verify -resp y2 -feat x,p1,p2 -model nn_keras -nnet_encoding nested -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_epochs 20 -nn_keras_seq_api t -nn_keras_tuner hyperband -nn_keras_layers_grid ""2,2;3,3,3"" -save_model_config f -spec smlp_toy_num_resp_mult_y2_verify.spec -asrt_names asrt1 -asrt_exprs ""2*y2>1"" -sw_coef 4 -sw_exp 5 -sw_int 0.5 -nn_keras_metrics mae",basic nn_keras assertion verification test that uses keras tuner with sequrntial models for model training
156,smlp_toy_num_resp_mult,,"-mode verify -resp y1,y2 -feat x,p1,p2 -model nn_keras -nnet_encoding nested -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_epochs 20 -nn_keras_seq_api f -nn_keras_tuner hyperband -nn_keras_layers_grid ""2,2;3"" -save_model_config f -spec smlp_toy_num_resp_mult_verify.spec -asrt_names asrt1 -asrt_exprs ""2*y2>1"" -sw_coef 4 -sw_exp 5 -sw_int 0.5 -nn_keras_metrics rmse",basic nn_keras assertion verification test that uses keras tuner for functional model training; adapts test 154 by consdering multiple responses
157,smlp_toy_num_resp_mult,,"-mode verify -resp y1,y2 -feat x,p1,p2 --model nn_keras -nnet_encoding nested -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_epochs 20 -nn_keras_seq_api t -nn_keras_tuner hyperband -nn_keras_layers_grid ""2,2;3"" -save_model_config f -spec smlp_toy_num_resp_mult_verify.spec -asrt_names asrt1 -asrt_exprs ""2*y2>1"" -sw_coef 4 -sw_exp 5 -sw_int 0.5 -nn_keras_metrics rmse,logcosh",basic nn_keras assertion verification test that uses keras tuner with sequrntial models for model training; adapts test 155 by consdering multiple responses
158,smlp_toy_num_resp_mult,smlp_toy_num_resp_mult_pred_labeled,"-mode predict -resp y1,y2 -feat x,p1,p2 -model nn_keras -nnet_encoding nested -save_model_config f -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_epochs 20 -nn_keras_seq_api f -nn_keras_loss mape -model_per_response t -sw_coef 8 -sw_exp 5 -sw_int 0.5 -nn_keras_metrics rmse",tests the mape loss function and sample weights with model_per_response t, adapts test 152
159,smlp_toy_num_resp_mult,smlp_toy_num_resp_mult_pred_labeled,"-mode predict -resp y1,y2 -feat x,p1,p2 -model nn_keras -nnet_encoding nested -save_model_config f -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_epochs 20 -nn_keras_seq_api t -nn_keras_loss msle -model_per_response t -sw_coef 4 -sw_exp 5 -sw_int 0.5 -nn_keras_metrics mae,cosine",tests the msle loss function and sample weights with model_per_response t, adapts test 153
160,smlp_toy_num_resp_mult,smlp_toy_num_resp_mult_pred_labeled,"-mode predict -resp y1,y2 -feat x,p1,p2 -model nn_keras -nnet_encoding nested -save_model_config f -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_epochs 20 -nn_keras_seq_api f -nn_keras_loss mape -nn_keras_metrics msle -nn_keras_tuner bayesian -nn_keras_layers_grid ""2,3"" -nn_keras_losses_grid ""mse,mae,huber"" -model_per_response f -sw_coef 8 -sw_exp 5 -sw_int 0.5",tests nn keras tuner bayesian
161,smlp_toy_num_resp_mult,smlp_toy_num_resp_mult_pred_labeled,"-mode predict -resp y1,y2 -feat x,p1,p2 -model nn_keras -nnet_encoding nested -save_model_config f -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f -nn_keras_epochs 20 -nn_keras_seq_api t -nn_keras_loss msle -nn_keras_metrics mape,logcosh -nn_keras_tuner random -nn_keras_lrates_grid ""0.01,0.001"" -nn_keras_batches_grid ""32,64"" -model_per_response f -sw_coef 4 -sw_exp 5 -sw_int 0.5",tests nn keras tuner bayesian
174,smlp_toy_num_resp_mult,,"-mode optsyn -opt_strategy lazy -resp y1,y2 -feat x,p1,p2 -model nn_keras -nn_keras_epochs 20 -nn_keras_seq_api f -nnet_encoding layered -save_model f -use_model f -mrmr_pred 2 -model_per_response f -spec smlp_toy_num_resp_mult_optsyn.spec -epsilon 0.1 -delta_rel 0.05 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",basic layered nn_keras encoding test with model_per_response f nn_keras_seq_api f for nn_keras in model exploration mode optsyn
175,smlp_toy_num_resp_mult,,"-mode optsyn -opt_strategy lazy -resp y1,y2 -feat x,p1,p2 -model nn_keras -nn_keras_epochs 20 -nn_keras_seq_api t -nnet_encoding layered -save_model f -use_model f -mrmr_pred 2 -model_per_response f -spec smlp_toy_num_resp_mult_optsyn.spec -epsilon 0.1 -delta_rel 0.05 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",basic layered nn_keras encoding test with model_per_response f nn_keras_seq_api t for nn_keras in model exploration mode optsyn
176,smlp_toy_num_resp_mult,,"-mode optsyn -opt_strategy lazy -resp y1,y2 -feat x,p1,p2 -model nn_keras -nn_keras_epochs 20 -nn_keras_seq_api f -nnet_encoding layered -save_model f -use_model f -mrmr_pred 2 -model_per_response t -spec smlp_toy_num_resp_mult_optsyn.spec -epsilon 0.1 -delta_rel 0.05 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",basic layered nn_keras encoding test with model_per_response t nn_keras_seq_api f for nn_keras in model exploration mode optsyn
177,smlp_toy_num_resp_mult,,"-mode optsyn -opt_strategy lazy -resp y1,y2 -feat x,p1,p2 -model nn_keras -nn_keras_epochs 20 -nn_keras_seq_api t -nnet_encoding layered -save_model f -use_model f -mrmr_pred 2 -model_per_response t -spec smlp_toy_num_resp_mult_optsyn.spec -epsilon 0.1 -delta_rel 0.05 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",basic layered nn_keras encoding test with model_per_response t nn_keras_seq_api t for nn_keras in model exploration mode optsyn
178,smlp_toy_num_resp_mult,,"-mode optsyn -opt_strategy lazy -resp y1,y2 -feat x,p1,p2 -model nn_keras -nn_keras_epochs 20 -nn_keras_seq_api t -nnet_encoding layered -save_model f -use_model f -mrmr_pred 2 -model_per_response t -scale_feat f -spec smlp_toy_num_resp_mult_optsyn.spec -epsilon 0.1 -delta_rel 0.05 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",basic layered nn_keras encoding test with model_per_response t nn_keras_seq_api t for nn_keras in model exploration mode optsyn when features are not scaled adapts test 177
179,smlp_toy_num_resp_mult,,"-mode optsyn -opt_strategy lazy -resp y1,y2 -feat x,p1,p2 -model nn_keras -nn_keras_epochs 20 -nn_keras_seq_api f -nnet_encoding layered -save_model f -use_model f -mrmr_pred 2 -model_per_response f -scale_resp f -spec smlp_toy_num_resp_mult_optsyn.spec -epsilon 0.1 -delta_rel 0.05 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",basic layered nn_keras encoding test with model_per_response f nn_keras_seq_api f for nn_keras in model exploration mode optsyn when resposes are not scaled adapts test 174
180,smlp_toy_num_resp_mult,,"-mode optsyn -opt_strategy lazy -resp y1,y2 -feat x,p1,p2 -model nn_keras -nn_keras_epochs 20 -nn_keras_seq_api t -nnet_encoding layered -save_model f -use_model f -mrmr_pred 2 -model_per_response f -scale_feat f -scale_resp f -spec smlp_toy_num_resp_mult_optsyn.spec -epsilon 0.1 -delta_rel 0.05 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",basic layered nn_keras encoding test with model_per_response f nn_keras_seq_api t for nn_keras in model exploration mode optsyn when features and responses are not scaled adapts test 175
