Iteration,p0,p1,p2,p3,o0_CH0RANK0Byte0,o0_CH0RANK0Byte1,o0_CH0RANK0Byte2,o0_CH0RANK0Byte3,o0_CH0RANK0Byte4,o0_CH0RANK0Byte5,o0_CH0RANK0Byte6,o0_CH0RANK0Byte7,o0_CH0RANK1Byte0,o0_CH0RANK1Byte1,o0_CH0RANK1Byte2,o0_CH0RANK1Byte3,o0_CH0RANK1Byte4,o0_CH0RANK1Byte5,o0_CH0RANK1Byte6,o0_CH0RANK1Byte7,o0_CH1RANK0Byte0,o0_CH1RANK0Byte1,o0_CH1RANK0Byte2,o0_CH1RANK0Byte3,o0_CH1RANK0Byte4,o0_CH1RANK0Byte5,o0_CH1RANK0Byte6,o0_CH1RANK0Byte7,o0_CH1RANK1Byte0,o0_CH1RANK1Byte1,o0_CH1RANK1Byte2,o0_CH1RANK1Byte3,o0_CH1RANK1Byte4,o0_CH1RANK1Byte5,o0_CH1RANK1Byte6,o0_CH1RANK1Byte7,o1_CH0RANK0Byte0,o1_CH0RANK0Byte1,o1_CH0RANK0Byte2,o1_CH0RANK0Byte3,o1_CH0RANK0Byte4,o1_CH0RANK0Byte5,o1_CH0RANK0Byte6,o1_CH0RANK0Byte7,o1_CH0RANK1Byte0,o1_CH0RANK1Byte1,o1_CH0RANK1Byte2,o1_CH0RANK1Byte3,o1_CH0RANK1Byte4,o1_CH0RANK1Byte5,o1_CH0RANK1Byte6,o1_CH0RANK1Byte7,o1_CH1RANK0Byte0,o1_CH1RANK0Byte1,o1_CH1RANK0Byte2,o1_CH1RANK0Byte3,o1_CH1RANK0Byte4,o1_CH1RANK0Byte5,o1_CH1RANK0Byte6,o1_CH1RANK0Byte7,o1_CH1RANK1Byte0,o1_CH1RANK1Byte1,o1_CH1RANK1Byte2,o1_CH1RANK1Byte3,o1_CH1RANK1Byte4,o1_CH1RANK1Byte5,o1_CH1RANK1Byte6,o1_CH1RANK1Byte7,objv_o0_CH0RANK0Byte0,objv_o0_CH0RANK0Byte1,objv_o0_CH0RANK0Byte2,objv_o0_CH0RANK0Byte3,objv_o0_CH0RANK0Byte4,objv_o0_CH0RANK0Byte5,objv_o0_CH0RANK0Byte6,objv_o0_CH0RANK0Byte7,objv_o0_CH0RANK1Byte0,objv_o0_CH0RANK1Byte1,objv_o0_CH0RANK1Byte2,objv_o0_CH0RANK1Byte3,objv_o0_CH0RANK1Byte4,objv_o0_CH0RANK1Byte5,objv_o0_CH0RANK1Byte6,objv_o0_CH0RANK1Byte7,objv_o0_CH1RANK0Byte0,objv_o0_CH1RANK0Byte1,objv_o0_CH1RANK0Byte2,objv_o0_CH1RANK0Byte3,objv_o0_CH1RANK0Byte4,objv_o0_CH1RANK0Byte5,objv_o0_CH1RANK0Byte6,objv_o0_CH1RANK0Byte7,objv_o0_CH1RANK1Byte0,objv_o0_CH1RANK1Byte1,objv_o0_CH1RANK1Byte2,objv_o0_CH1RANK1Byte3,objv_o0_CH1RANK1Byte4,objv_o0_CH1RANK1Byte5,objv_o0_CH1RANK1Byte6,objv_o0_CH1RANK1Byte7,objv_o1_CH0RANK0Byte0,objv_o1_CH0RANK0Byte1,objv_o1_CH0RANK0Byte2,objv_o1_CH0RANK0Byte3,objv_o1_CH0RANK0Byte4,objv_o1_CH0RANK0Byte5,objv_o1_CH0RANK0Byte6,objv_o1_CH0RANK0Byte7,objv_o1_CH0RANK1Byte0,objv_o1_CH0RANK1Byte1,objv_o1_CH0RANK1Byte2,objv_o1_CH0RANK1Byte3,objv_o1_CH0RANK1Byte4,objv_o1_CH0RANK1Byte5,objv_o1_CH0RANK1Byte6,objv_o1_CH0RANK1Byte7,objv_o1_CH1RANK0Byte0,objv_o1_CH1RANK0Byte1,objv_o1_CH1RANK0Byte2,objv_o1_CH1RANK0Byte3,objv_o1_CH1RANK0Byte4,objv_o1_CH1RANK0Byte5,objv_o1_CH1RANK0Byte6,objv_o1_CH1RANK0Byte7,objv_o1_CH1RANK1Byte0,objv_o1_CH1RANK1Byte1,objv_o1_CH1RANK1Byte2,objv_o1_CH1RANK1Byte3,objv_o1_CH1RANK1Byte4,objv_o1_CH1RANK1Byte5,objv_o1_CH1RANK1Byte6,objv_o1_CH1RANK1Byte7
vacuity,15.0,3.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-25.6,-19.2,-19.2,-19.2,-25.600000000000005,-29.083333330000002,-25.6,-19.2,-25.600000000000005,-19.2,-25.6,-19.2,-25.6,-19.2,-25.600000000000005,-19.200000000000003,-32.0,-19.2,-19.2,-25.600000000000005,-25.600000000000005,-19.2,-25.6,-19.2,-25.6,-16.28333333,-19.2,-19.2,-32.0,-19.2,-25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-25.6,-19.2,-19.2,-19.2,-25.600000000000005,-29.083333330000002,-25.6,-19.2,-25.600000000000005,-19.2,-25.6,-19.2,-25.6,-19.2,-25.600000000000005,-19.200000000000003,-32.0,-19.2,-19.2,-25.600000000000005,-25.600000000000005,-19.2,-25.6,-19.2,-25.6,-16.28333333,-19.2,-19.2,-32.0,-19.2,-25.6
"iter(0, 'completed')",6.0,3.0,30.0,40.0,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-12.8,-12.8,-12.800000000000002,-12.800000000000002,-19.200000000000003,-19.2,-19.2,-19.2,-16.28333333,-16.28333333,-19.2,-12.800000000000002,-19.2,-16.28333333,-19.200000000000003,-12.800000000000006,-19.200000000000003,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-12.8,-12.8,-12.800000000000002,-12.800000000000002,-19.200000000000003,-19.2,-19.2,-19.2,-16.28333333,-16.28333333,-19.2,-12.800000000000002,-19.2,-16.28333333,-19.200000000000003,-12.800000000000006,-19.200000000000003,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996
"iter(1, 'completed')",7.0,3.0,30.0,38.0,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-12.8,-12.8,-12.800000000000002,-12.800000000000002,-19.200000000000003,-19.2,-19.2,-19.2,-16.28333333,-16.28333333,-19.2,-12.800000000000002,-19.2,-16.28333333,-19.200000000000003,-12.800000000000006,-19.200000000000003,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-12.8,-12.8,-12.800000000000002,-12.800000000000002,-19.200000000000003,-19.2,-19.2,-19.2,-16.28333333,-16.28333333,-19.2,-12.800000000000002,-19.2,-16.28333333,-19.200000000000003,-12.800000000000006,-19.200000000000003,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996
"iter(2, 'selection')",9.0,3.0,35.0,40.0,-5.0,0.0,-1.0000000000000004,-1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0000000000000004,-3.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-12.800000000000002,-19.200000000000003,-19.2,-19.2,-12.8,-19.200000000000003,-12.800000000000002,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-19.200000000000003,-16.28333333,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-16.28333333,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996,-5.0,0.0,-1.0000000000000004,-1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0000000000000004,-3.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-12.800000000000002,-19.200000000000003,-19.2,-19.2,-12.8,-19.200000000000003,-12.800000000000002,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-19.200000000000003,-16.28333333,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-16.28333333,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996
"iter(2, 'completed')",9.0,3.0,35.0,34.0,-5.0,0.0,-1.0000000000000004,-1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0000000000000004,-3.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-12.800000000000002,-19.200000000000003,-19.2,-19.2,-12.8,-19.200000000000003,-12.800000000000002,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-19.200000000000003,-16.28333333,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-16.28333333,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996,-5.0,0.0,-1.0000000000000004,-1.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0000000000000004,-3.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-19.2,-12.8,-12.800000000000002,-12.800000000000002,-19.200000000000003,-19.2,-19.2,-12.8,-19.200000000000003,-12.800000000000002,-19.2,-12.800000000000002,-19.2,-12.8,-19.200000000000003,-12.800000000000006,-19.200000000000003,-16.28333333,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-16.28333333,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996
"iter(3, 'completed')",9.0,3.0,30.0,38.0,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-12.8,-12.8,-12.800000000000002,-12.800000000000002,-19.200000000000003,-19.2,-19.2,-19.2,-16.28333333,-16.28333333,-19.2,-12.800000000000002,-19.2,-16.28333333,-19.200000000000003,-12.800000000000006,-19.200000000000003,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-12.8,-12.8,-12.800000000000002,-12.800000000000002,-19.200000000000003,-19.2,-19.2,-19.2,-16.28333333,-16.28333333,-19.2,-12.800000000000002,-19.2,-16.28333333,-19.200000000000003,-12.800000000000006,-19.200000000000003,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996
"iter(4, 'completed')",8.0,3.0,30.0,38.0,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-12.8,-12.8,-12.800000000000002,-12.800000000000002,-19.200000000000003,-19.2,-19.2,-19.2,-16.28333333,-16.28333333,-19.2,-12.800000000000002,-19.2,-16.28333333,-19.200000000000003,-12.800000000000006,-19.200000000000003,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-12.8,-12.8,-12.800000000000002,-12.800000000000002,-19.200000000000003,-19.2,-19.2,-19.2,-16.28333333,-16.28333333,-19.2,-12.800000000000002,-19.2,-16.28333333,-19.200000000000003,-12.800000000000006,-19.200000000000003,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996
"iter(10, 'completed')",9.0,3.0,30.0,34.0,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-12.8,-12.8,-12.800000000000002,-12.800000000000002,-19.200000000000003,-19.2,-19.2,-19.2,-16.28333333,-16.28333333,-19.2,-12.800000000000002,-19.2,-16.28333333,-19.200000000000003,-12.800000000000006,-19.200000000000003,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-12.8,-12.8,-12.800000000000002,-12.800000000000002,-19.200000000000003,-19.2,-19.2,-19.2,-16.28333333,-16.28333333,-19.2,-12.800000000000002,-19.2,-16.28333333,-19.200000000000003,-12.800000000000006,-19.200000000000003,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996
"iter(12, 'completed')",5.0,3.0,30.0,40.0,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-12.8,-12.8,-12.800000000000002,-12.800000000000002,-19.200000000000003,-19.2,-19.2,-19.2,-16.28333333,-16.28333333,-19.2,-12.800000000000002,-19.2,-16.28333333,-19.200000000000003,-12.800000000000006,-19.200000000000003,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-12.8,-12.8,-12.800000000000002,-12.800000000000002,-19.200000000000003,-19.2,-19.2,-19.2,-16.28333333,-16.28333333,-19.2,-12.800000000000002,-19.2,-16.28333333,-19.200000000000003,-12.800000000000006,-19.200000000000003,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996
"iter(13, 'selection')",9.0,3.0,30.0,40.0,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-12.8,-12.8,-12.800000000000002,-12.800000000000002,-19.200000000000003,-19.2,-19.2,-19.2,-16.28333333,-16.28333333,-19.2,-12.800000000000002,-19.2,-16.28333333,-19.200000000000003,-12.800000000000006,-19.200000000000003,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-12.8,-12.8,-12.800000000000002,-12.800000000000002,-19.200000000000003,-19.2,-19.2,-19.2,-16.28333333,-16.28333333,-19.2,-12.800000000000002,-19.2,-16.28333333,-19.200000000000003,-12.800000000000006,-19.200000000000003,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996
final,7.0,3.0,30.0,34.0,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-12.8,-12.8,-12.800000000000002,-12.800000000000002,-19.200000000000003,-19.2,-19.2,-19.2,-16.28333333,-16.28333333,-19.2,-12.800000000000002,-19.2,-16.28333333,-19.200000000000003,-12.800000000000006,-19.200000000000003,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996,-0.9999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.2,-12.8,-12.8,-12.800000000000002,-12.800000000000002,-19.200000000000003,-19.2,-19.2,-19.2,-16.28333333,-16.28333333,-19.2,-12.800000000000002,-19.2,-16.28333333,-19.200000000000003,-12.800000000000006,-19.200000000000003,-12.800000000000002,-12.8,-19.200000000000003,-19.200000000000003,-12.800000000000002,-19.2,-12.8,-19.2,-12.8,-12.8,-12.8,-19.200000000000003,-12.800000000000002,-19.199999999999996
